customer_id,date,description,payee,amount,channel,type
CUST001,2025-03-02 09:45,Rent Payment,Landlord Rent Co,1200.0,AutoPay,debit
CUST001,2025-03-03 09:15,Coffee Shop,Daily Grind Cafe,6.81,Card,debit
CUST001,2025-03-05 15:15,Electricity Bill,City Power Utility,60.32,AutoPay,debit
CUST001,2025-03-07 10:00,Restaurant,Local Bistro,52.29,Card,debit
CUST001,2025-03-09 10:00,Rent Payment,Landlord Rent Co,1200.0,AutoPay,debit
CUST001,2025-03-10 15:15,Gym Membership,Local Gym,45.0,AutoPay,debit
CUST001,2025-03-12 18:15,Electricity Bill,City Power Utility,73.35,AutoPay,debit
CUST001,2025-03-13 20:15,Salary Credit,Employer Payroll Inc,3275.89,NEFT,credit
CUST001,2025-03-14 18:45,Grocery Shopping,GreenMart Grocery,130.88,Card,debit
CUST001,2025-03-16 20:45,Coffee Shop,Daily Grind Cafe,6.69,Card,debit
CUST001,2025-03-18 14:15,Electricity Bill,City Power Utility,66.92,AutoPay,debit
CUST001,2025-03-20 10:00,Salary Credit,Employer Payroll Inc,3276.95,NEFT,credit
CUST001,2025-03-23 15:15,Streaming Subscription,Netflix,15.99,AutoPay,debit
CUST001,2025-03-26 10:00,Electricity Bill,City Power Utility,74.92,AutoPay,debit
CUST001,2025-03-29 18:00,Grocery Shopping,GreenMart Grocery,73.11,Card,debit
CUST001,2025-03-30 10:45,Electricity Bill,City Power Utility,84.3,AutoPay,debit
CUST001,2025-04-02 11:30,Grocery Shopping,GreenMart Grocery,79.43,Card,debit
CUST001,2025-04-04 18:15,Grocery Shopping,GreenMart Grocery,47.71,Card,debit
CUST001,2025-04-05 10:30,Grocery Shopping,GreenMart Grocery,42.08,Card,debit
CUST001,2025-04-07 14:45,Restaurant,Local Bistro,29.72,Card,debit
CUST001,2025-04-08 10:00,Rent Payment,Landlord Rent Co,1200.0,AutoPay,debit
CUST001,2025-04-10 18:30,Electricity Bill,City Power Utility,65.46,AutoPay,debit
CUST001,2025-04-12 14:00,Salary Credit,Employer Payroll Inc,3374.9,NEFT,credit
CUST001,2025-04-13 11:45,Salary Credit,Employer Payroll Inc,3281.28,NEFT,credit
CUST001,2025-04-15 20:15,Restaurant,Local Bistro,46.47,Card,debit
CUST001,2025-04-16 15:45,Salary Credit,Employer Payroll Inc,3243.54,NEFT,credit
CUST001,2025-04-19 11:45,Grocery Shopping,GreenMart Grocery,124.39,Card,debit
CUST001,2025-04-20 14:30,Gym Membership,Local Gym,45.0,AutoPay,debit
CUST001,2025-04-21 18:00,Rent Payment,Landlord Rent Co,1200.0,AutoPay,debit
CUST001,2025-04-23 10:30,Grocery Shopping,GreenMart Grocery,62.85,Card,debit
CUST001,2025-04-25 11:30,Salary Credit,Employer Payroll Inc,3287.64,NEFT,credit
CUST001,2025-04-26 11:30,Grocery Shopping,GreenMart Grocery,112.95,Card,debit
CUST001,2025-04-27 15:00,Streaming Subscription,Netflix,15.99,AutoPay,debit
CUST001,2025-04-28 18:00,Coffee Shop,Daily Grind Cafe,7.71,Card,debit
CUST001,2025-04-29 10:45,Electricity Bill,City Power Utility,94.55,AutoPay,debit
CUST001,2025-04-30 09:15,Grocery Shopping,GreenMart Grocery,118.59,Card,debit
CUST001,2025-05-01 18:15,Grocery Shopping,GreenMart Grocery,77.67,Card,debit
CUST001,2025-05-02 19:30,Grocery Shopping,GreenMart Grocery,69.88,Card,debit
CUST001,2025-05-03 10:30,Gym Membership,Local Gym,45.0,AutoPay,debit
CUST001,2025-05-04 14:30,Streaming Subscription,Netflix,15.99,AutoPay,debit
CUST001,2025-05-07 19:15,Streaming Subscription,Netflix,15.99,AutoPay,debit
CUST001,2025-05-10 15:45,Rent Payment,Landlord Rent Co,1200.0,AutoPay,debit
CUST001,2025-05-13 14:30,Grocery Shopping,GreenMart Grocery,35.18,Card,debit
CUST001,2025-05-15 10:30,Streaming Subscription,Netflix,15.99,AutoPay,debit
CUST001,2025-05-17 18:30,Electricity Bill,City Power Utility,74.78,AutoPay,debit
CUST001,2025-05-19 09:45,Restaurant,Local Bistro,32.89,Card,debit
CUST001,2025-05-20 20:00,Gym Membership,Local Gym,45.0,AutoPay,debit
CUST001,2025-05-21 15:45,Rent Payment,Landlord Rent Co,1200.0,AutoPay,debit
CUST001,2025-05-23 14:45,Rent Payment,Landlord Rent Co,1200.0,AutoPay,debit
CUST001,2025-05-24 11:45,Rent Payment,Landlord Rent Co,1200.0,AutoPay,debit
CUST001,2025-05-25 20:45,Coffee Shop,Daily Grind Cafe,8.75,Card,debit
CUST001,2025-05-26 20:15,Restaurant,Local Bistro,51.11,Card,debit
CUST001,2025-05-28 20:15,Electricity Bill,City Power Utility,74.29,AutoPay,debit
CUST001,2025-05-29 19:00,Coffee Shop,Daily Grind Cafe,6.04,Card,debit
CUST001,2025-05-30 19:45,Coffee Shop,Daily Grind Cafe,4.1,Card,debit
CUST001,2025-05-31 18:45,Grocery Shopping,GreenMart Grocery,128.62,Card,debit
CUST001,2025-06-01 15:45,Electricity Bill,City Power Utility,61.45,AutoPay,debit
CUST001,2025-06-02 09:15,Restaurant,Local Bistro,37.14,Card,debit
CUST001,2025-06-03 15:30,Coffee Shop,Daily Grind Cafe,7.81,Card,debit
CUST001,2025-06-04 20:00,Salary Credit,Employer Payroll Inc,3203.88,NEFT,credit
CUST001,2025-06-05 14:45,Grocery Shopping,GreenMart Grocery,60.05,Card,debit
CUST001,2025-06-07 18:00,Streaming Subscription,Netflix,15.99,AutoPay,debit
